author,desc,genre,img,isbn,link,pages,rating,reviews,title,totalratings
"Unknown,H. Adema","Een jonkvrouw arriveert op Camelot, Arturs hof. Ze vertelt een verhaal over een woud waar zich een hert met een wit voetje bevindt. Het hert wordt bewaakt door zeven leeuwen. De vorstin van de jonkvrouw zal alleen trouwen met de man die haar het witte voetje brengt. De ridder die dit wil proberen zal door een hondje naar het woud geleid worden.","Academic,School,European Literature,Dutch Literature,Literature,13th Century,Academic,Read For School,Plays",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1307211276l/11540540.jpg,9066200057,https://goodreads.com/book/show/11540540-lanceloet-en-het-hert-met-de-witte-voet,47,2.92,3,Lanceloet en het hert met de witte voet,131
Lora Leigh,"Window Rock, Arizona, is the last known location of Honor Roberts, who vanished when she was just thirteen. It was her only sanctuary from the Breed research that would surely have ended in her death--one such insidious experiment should, indeed, have killed her. That she lived is both a miracle--and a great mystery.,Stygian's mission is to find Honor Roberts, no matter the cost. Now, with the help of Liza Johnson, assistant to the chief of the Navajo Nation, he is closer than ever to his goal. But will the discovery of Honor Roberts mean the destruction of the mating heat that has developed between Stygian and Liza?","Fantasy,Paranormal,Romance,Paranormal Romance,Romance,Adult Fiction,Erotica,Paranormal,Shapeshifters,Romance,Erotic Romance,Fantasy,Adult,Fiction,Contemporary",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329932871l/11540546.jpg,425246078,https://goodreads.com/book/show/11540546-stygian-s-honor,374,4.12,376,Stygian's Honor,6526
Stefan Molyneux,"Between the poles of strong atheism and strict theism lies agnosticism, the argument that gods are very unlikely, but cannot logically be ruled out as utterly impossible. Agnosticism is considered a cautious, tentative and scientific approach to the question of the existence of gods - Stefan Molyneux's seminal book ""Against the Gods?"" makes a powerful case against agnosticism and for the positive acceptance of the nonexistence of supernatural beings.,It is not rational to even entertain the possibility of the existence of irrational entities. We do not accept agnosticism about unicorns, fairies, square circles, pixies on the proposition that two and two make five – why do we create a special exception in the realm of deities? Surely it is because the social cost of rejecting God's is far higher than the social cost of rejecting goblins.,""Against the Gods?"" provides essential ammunition to those fighting the virus of faith, and clears the mental fog of the irrational middle ground between atheism and theism.,""Against the Gods is a nail in agnosticism’s coffin. Stefan Molyneux is a pallbearer. Once agnosticism can finally and permanently be put to rest, we can turn our attention to an even more pernicious scourge—faith. Molyneux has begun this journey for us by making an extraordinarily contribution to the much-overlooked dangers of agnosticism."" - Peter Boghossian","Philosophy,Religion,Nonfiction,Religion,Atheism",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336851516l/11540577.jpg,,https://goodreads.com/book/show/11540577-against-the-gods,60,3.79,13,Against The Gods?,181
Devon Monk,"Allison Beckstrom’s talent for tracking spells has put her up against some of the darkest elements in the world of magic, but she’s never faced anything like this.,Magic itself has been poisoned, and Allie’s undead father may have left the only cure in the hands of a madman. Hunted by the Authority–the secret council that enforces magic’s laws–wanted by the police, and unable to use magic, she’s got to find the cure before the sickness spreads beyond any power to stop it.,But when a Death magic user seeks to destroy the only antidote, Allie and her fellow renegades must stand and fight to defend the innocent and save all magic…","Fantasy,Urban Fantasy,Fantasy,Fantasy,Magic,Fantasy,Paranormal,Fiction,Romance,Romance,Paranormal Romance,Science Fiction Fantasy,Urban,Fantasy,Supernatural",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1321389129l/11540658.jpg,451464486,https://goodreads.com/book/show/11540658-magic-without-mercy,344,4.16,161,Magic Without Mercy,4022
Graham Greene,"From master storyteller Graham Greene comes the tale of Anthony Farrant, who has boasted, lied and cheated his way through jobs all over the world. Then his adoring twin sister, Kate, gets him taken on as the bodyguard of Krogh, her lover and boss, a megalomaniac Swedish financier. All goes well until Krogh gives orders that offend Anthony's innate decency. Outraged and blind to risk, he leaks information to Minty, a shabby journalist and fellow victim of life, a decision that will lead to disastrous consequences.,For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Fiction,Classics,Literature,20th Century,European Literature,British Literature,Literature,Literary Fiction,Novels,Mystery,Crime,Suspense,Literature,English Literature",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348359782l/115407.jpg,140185518,https://goodreads.com/book/show/115407.England_Made_Me,206,3.42,101,England Made Me,1137
"Catherine D. Hughes,Franco Tempesta","The third title in ,National Geographic Little Kids First Big Book, series, this book is for kids 4- to 8-years-old who LOVE dinos! The prehistoric world comes alive with dinosaurs small, big, giant, and gigantic, with stunning illustrations by Franco Tempesta—who illustrated ,National Geographic Kids The Ultimate Dinopedia., Bursting with fun facts and age appropriate information, each spread features a different dinosaur, along with simple text in big type that is perfect for little kids. Young dino fans will love the interactivity included in every chapter, and parents will appreciate tips to help carry readers’ experience beyond the page.","Animals,Dinosaurs,Nonfiction,Childrens,Science,Animals,Childrens,Picture Books,Academic,School,Geology,Palaeontology",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348846544l/11540816.jpg,1426308469,https://goodreads.com/book/show/11540816-little-kids-first-big-book-of-dinosaurs,128,4.41,47,Little Kids First Big Book of Dinosaurs,696
Bill Warner,"Islam is a political system with its own body of laws called Sharia. Sharia law is based on entirely different principles than our laws. Many of these laws concern the non-Muslim.,What does Sharia law mean for the citizens of this state? How will this affect us? What are the long-term effects of granting Muslims the right to be ruled by Sharia, instead of our laws? Each and every demand that Muslims make is based on the idea of implementing Sharia law in America. Should we allow any Sharia at all? Why? Why not?,How can any political or legal authority make decisions about Sharia law if they do not know what it is? Is this moral?,The answers to all of these questions are found in this book.","Religion,Religion,Islam,Politics,Nonfiction,Philosophy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385250545l/11540888.jpg,979579481,https://goodreads.com/book/show/11540888-sharia-law-for-non-muslims,64,4.1,31,Sharia Law for Non-Muslims,253
Garrett Cook,"In a city ridden with prostitute furries, cannibal cops and warehouse-sized mob bosses, I've got my work cut out for me. My name is Jimmy Plush. I'm a private detective. I'm also a teddy bear. It all started when the original Jimmy Plush entered my life, offering to take my gambling debts away if I agreed to switch bodies with him. But I didn't know that being a three-foot-high plush toy would be such a living hell, especially now that everyone in town wants a piece of me. All I've gotten out of this deal is a faithful Chinese chauffeur, a custom teddybear .45, and a girlfriend who won't take off the fox suit she turns tricks in. Now I've got to keep this town clean and try to track down the real Jimmy Plush without losing my stuffing for good. Only one thing is for sure: Life is hard when you're soft. Jimmy Plush, Teddy Bear Detective is a high octane pulp satire. In the tradition of Sam Spade, The Shadow, Dick Tracy, Hellboy and Howard the Duck comes a new kind of hero, a hero that reminds us that the measure of a man is in his guts and his gun.","Horror,Bizarro Fiction,Fantasy,Fiction,Humor,Mystery,Crime",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327164888l/11541054.jpg,1936383632,https://goodreads.com/book/show/11541054-jimmy-plush-teddy-bear-detective,120,3.63,34,"Jimmy Plush, Teddy Bear Detective",104
Bill Bright,Explains how the power of fasting and prayer can usher in a mighty spiritual revival.,"Christian,Prayer,Christianity,Evangelism,Spirituality",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387728100l/1154121.jpg,1563990644,https://goodreads.com/book/show/1154121.The_Coming_Revival,223,3.81,5,"The Coming Revival: America's Call to Fast, Pray, and ""Seek God's Face""",43
Phil Scearce,"A Main Selection of the Military/History Book Club. During the early years of World War II in the Pacific theatre, against overwhelming odds, young American airmen flew the longest and most perilous bombing missions of the war. They faced determined Japanese fighters without fighter escort, relentless anti-aircraft fire with no deviations from target, and thousands of miles of over-water flying with no alternative landing sites. Finish Forty and Home, by Phil Scearce, is the true story of the men and missions of the 11th Bombardment Group as it fought alone and unheralded in the South Central Pacific, while America had its eyes on the war in Europe. The book opens with Sgt. Herman Scearce, the author's father, lying about his age to join the Army Air Corps at 16. The narrative follows Scearce through training and into combat with his new crewmates, including pilot Lt. Joe Deasy, whose last-minute transfer from training duty thrusts the new crew into the squadron commander’s role. After bombing Nauru, the squadron moves on to bomb Wake Island, Tarawa, and finally Iwo Jima. These missions bring American forces closer and closer to the Japanese home islands and precede the critical American invasions of Tarawa and Iwo Jima. The 42nd Squadron’s losses through 1943 were staggering: 50 out of 110 airmen killed. Phil Scearce explores the context of the war and sets the stage for these daring missions, revealing the motivations of the men who flew them: to finish forty combat missions and make it home again. He based his story upon substantial research at the Air Force Historical Research Agency and the National Archives, interviews with surviving airmen, and interviews and correspondence with the survivors of men who were lost. His is the first book to document America's bomber offensive in the early days of the Pacific War.","Nonfiction,History,Military,Military History,Aviation,War,World War II,Biography,War,Military Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330478561l/11541265.jpg,1574413163,https://goodreads.com/book/show/11541265-finish-forty-and-home,352,4.16,16,Finish Forty and Home: The Untold World War II Story of B-24s in the Pacific,96
